paymentType,Year,Month,month_year,avg_passenger_count,median_passenger_count,avg_fareAmount,median_fareAmount,avg_improvementSurcharge,median_improvementSurcharge,avg_extra,median_extra,avg_mtaTax,median_mtaTax,avg_tollsAmount,median_tollsAmount,avg_tipAmount,median_tipAmount,avg_totalAmount,median_totalAmount
CRD,2010,1,1/2010,1.6399117593595476,1,10.783270294132057,8.1,null,null,0.3315524999979058,0.5,0.47439312570731146,0.5,0.2386968422183083,0,2.0872708143288787,1.74,13.938793107784479,10.7
CSH,2010,1,1/2010,1.7078485886436505,1,8.781637395344703,6.9,null,null,0.31397314356645073,0,0.4687340048437141,0.5,0.10352062460626385,0,0.0011574734645894236,0,9.694661591022523,7.8
DIS,2010,1,1/2010,1.2612244897959184,1,11.134114549045442,6.5,null,null,0.33732718894009217,0.5,0.48887425938117185,0.5,0.19172481895984184,0,0.021712969058591176,0,12.30886240947994,7.5
UNK,2010,1,1/2010,1.2513757304135702,1,9.658034265615218,6.1,null,null,0.31110228626538833,0.5,0.48863958699722015,0.5,0.12820701197027276,0,0.014672944914052305,0,10.689166619390678,6.8
CRD,2010,2,2/2010,1.595985537686463,1,10.714282877634657,8.1,null,null,0.3300348050330419,0.5,0.497002828327822,0.5,0.2297451231195554,0,1.6332420004106627,1.68,13.404308021193584,10.75
CSH,2010,2,2/2010,1.6626449527053802,1,8.82058823154975,6.9,null,null,0.3125889875320916,0,0.4976507346890925,0.5,-2.8685385857949304,0,0.0016726479575376084,0,6.763961891365156,7.8
DIS,2010,2,2/2010,1.5,1.5,44.7,44.7,null,null,0.5,0.5,0.5,0.5,0,0,0,0,45.7,45.7
UNK,2010,2,2/2010,1.2463570681392464,1,11.513683249543407,5.7,null,null,0.5843878171600944,0.5,0.5090726640231592,0.5,0.20415841584158495,0,0.028045345075048054,0,12.247731529909645,6.6
CRD,2010,3,3/2010,1.5928808566668973,1,11.106468372792422,8.5,null,null,0.3371547354916644,0.5,0.49709454126811264,0.5,0.26973416515879617,0,1.7893929585566593,1.75,13.999844862221181,10.92
CSH,2010,3,3/2010,1.6643180188395648,1,6.171291341252326,6.9,null,null,0.3249686215180237,0,0.49824272223865634,0.5,-2.4482504403037137,0,0.0015750371328430912,0,4.547827485766181,7.9
DIS,2010,3,3/2010,1.20281052756937,1,11.101300464451587,6.1,null,null,0.328335119685602,0.5,0.5378146957246637,0.5,0.3091020602596165,0,0.02083482196022389,0,12.297387162081689,7.1
UNK,2010,3,3/2010,1.2478722107060114,1,10.233405712991543,5.7,null,null,1.5950506035849288,0.5,0.4561890013412998,0.5,0.22374271430313383,0,0.08136178514815266,0,9.771277649067196,5.4
CRD,2010,4,4/2010,1.6231390470595324,1,11.148527777778153,8.5,null,null,0.34284637864545675,0.5,0.4953133473427332,0.5,0.2649665638558005,0,2.1272349530763424,1.8,14.383718862985445,11
CSH,2010,4,4/2010,1.702093688011717,1,9.21115913232213,7.3,null,null,0.33240031500247813,0,0.4966614986678982,0.5,0.1263449428285312,0,0.0012245889847787936,0,10.169058289252233,8
DIS,2010,4,4/2010,1.2244346465652112,1,11.2673090598777,6.5,null,null,0.33451856065993457,0.5,0.48719954487270656,0.5,0.2038728488124022,0,0.01840420992746409,0,12.442272791921514,7.4
UNK,2010,4,4/2010,1.243477727704712,1,9.710795879575658,6.1,null,null,0.3235231000337227,0.5,0.48946932769244916,0.5,0.14681443330574195,0,0.014491247432478004,0,10.754850547227038,6.7
CRD,2010,5,5/2010,1.631520920885417,1,11.423714399983334,8.5,null,null,0.32647235592400914,0.5,0.4968999111816229,0.5,0.27924768737398464,0,2.169102755945442,1.84,14.700333258406332,11.2
CSH,2010,5,5/2010,1.7077260871281172,1,9.433334940325613,7.3,null,null,0.3133745621787375,0,0.4987303620521434,0.5,0.13803931011711862,0,0.0010122422593500536,0,10.385607123649175,8.2
DIS,2010,5,5/2010,1.2206896551724138,1,11.059318789584806,6.1,null,null,0.3221674876847291,0.5,0.4868402533427164,0.5,0.20045883180858542,0,0.017037297677691767,0,12.191750879662221,7
UNK,2010,5,5/2010,1.2280084856586557,1,9.764827235476972,6.1,null,null,0.30475719973264365,0,0.49013396878905,0.5,0.15238499317078827,0,0.01053529394670309,0,10.794819389148776,6.7
CRD,2010,6,6/2010,1.6258757095455887,1,11.373434974689895,8.5,null,null,0.3363149589832268,0.5,0.4971722926955159,0.5,0.2792998254098742,0,2.168855229061772,1.84,14.659201917991615,11.2
CSH,2010,6,6/2010,1.7010253930062698,1,9.404290451634818,7.3,null,null,0.3243719289480527,0,0.4989244862759529,0.5,0.13807493105882618,0,0.0010196632509615789,0,10.367831722592411,8.2
DIS,2010,6,6/2010,1.214447634879855,1,11.117896327640915,6.1,null,null,0.3243161553574127,0.5,0.4877588030829681,0.5,0.1903974610850838,0,0.021106241499168808,0,12.240782832099127,7
UNK,2010,6,6/2010,1.2437926154637848,1,9.552889810883856,5.7,null,null,0.32413482567863117,0.5,0.4899974269908658,0.5,0.12913160941721358,0,0.011901132124019042,0,10.57461597838674,6.7
CRD,2010,7,7/2010,1.6265442081986292,1,11.15097580624057,8.5,null,null,0.3373725153826707,0.5,0.49725487454646294,0.5,0.25230227689994084,0,2.116048027258682,1.8,14.357766200049909,11
CSH,2010,7,7/2010,1.7210107586966557,1,9.375872378068689,7.3,null,null,0.3244912169904859,0,0.4989168984366831,0.5,0.13211809797625576,0,0.0009835066038845275,0,10.3335976530428,8.2
DIS,2010,7,7/2010,1.2101650357820943,1,11.015751423981289,6.1,null,null,0.34197458741054476,0.5,0.48904629764860524,0.5,0.21941580254125878,0,0.020048196290346137,0,12.229520958083818,7
UNK,2010,7,7/2010,1.2495590828924161,1,9.455901360544255,5.7,null,null,0.3366087175610985,0.5,0.48957545981355505,0.5,0.147955089443185,0,0.018231607457797932,0,10.519271856890931,6.4
CRD,2010,8,8/2010,1.6755868142470087,1,11.19487209448005,8.5,null,null,0.33641358291422596,0.5,0.4971951553147588,0.5,0.26612294995344743,0,2.1268735420733518,1.8,14.421477644345185,11
CSH,2010,8,8/2010,1.7622466990434429,1,9.437561452735645,7.3,null,null,0.3250057364213366,0,0.49899998577905597,0.5,0.13826170739226992,0,0.0009951778188121052,0,10.400824444500921,8.2
DIS,2010,8,8/2010,1.2172619047619047,1,11.304949776785733,6.1,null,null,0.33361235119047616,0.5,0.486328125,0.5,0.22785714285714287,0,0.01857328869047619,0,12.371320684523823,7.1
NOC,2010,8,8/2010,1.2405641120801634,1,9.676205975134476,5.7,null,null,0.3291705325663388,0.5,0.48877342735201335,0.5,0.13719873817034692,0,0.009897197995917609,0,10.641245871219112,6.6
UNK,2010,8,8/2010,1.5,1,10.966666666666667,8.5,null,null,0.5,0.5,0.5,0.5,0,0,0.16666666666666666,0,12.133333333333333,10
CRD,2010,9,9/2010,1.593761832868817,1,11.389365334067342,8.5,null,null,0.3259850092035981,0.5,0.4972606725679235,0.5,0.27007153055504074,0,2.150152365938294,1.8,14.632834912337565,11.2
CSH,2010,9,9/2010,1.6740783873033411,1,9.525859803540108,7.3,null,null,0.3132878616660179,0,0.49900101076051884,0.5,0.1414261904165439,0,0.0008987575807038913,0,10.480473780917613,8.2
DIS,2010,9,9/2010,1.2275249722530521,1,12.10973362930078,5.7,null,null,0.3318534961154273,0.5,0.4877913429522753,0.5,0.22923418423973366,0,0.007613762486126527,0,13.166226415094343,6.7
NOC,2010,9,9/2010,1.2608784893267653,1,9.2906013957307,5.7,null,null,0.3206075533661741,0.5,0.4896346469622332,0.5,0.14783661740558285,0,0.005355090311986864,0,10.254035303776675,6.6
CRD,2010,10,10/2010,1.622444608082485,1,11.274721542066342,8.5,null,null,0.3230973261287719,0.5,0.49743351924121315,0.5,0.2660533317371673,0,2.140290731387766,1.8,14.501598073323192,11.1
CSH,2010,10,10/2010,1.701799905012717,1,9.48315325423828,7.3,null,null,0.30746271633584826,0,0.4990063313299722,0.5,0.14104073244222742,0,0.0008365224947681876,0,10.43150747245176,8.2
CRD,2010,11,11/2010,1.6325228953367381,1,11.271288640931163,8.5,null,null,0.31237514862873655,0,0.49745273850929234,0.5,0.2758518225298106,0,2.1510519894410254,1.8,14.508020801836413,11.05
CSH,2010,11,11/2010,1.7144346151497578,1,9.426011530428648,7.3,null,null,0.2993844488031717,0,0.4990505826101372,0.5,0.14115354183465195,0,0.00099061312750289,0,10.3665927757684,8.2
CRD,2010,12,12/2010,1.6378001825483615,1,11.264976126108191,8.5,null,null,0.32881663194868677,0.5,0.49729978972516753,0.5,0.2561113246181523,0,2.1711948879652327,1.88,14.518399233191241,11.1
CSH,2010,12,12/2010,1.7264867436782996,1,9.515163236221538,7.3,null,null,0.3157713617042721,0,0.499132535090608,0.5,0.13629857574974844,0,0.0011551205860603241,0,10.467521884093307,8.2
CRD,2011,1,1/2011,1.6122913680893076,1,10.734811239908694,8.1,null,null,0.32651545803269294,0.5,0.49790379184949063,0.5,0.23627139195205996,0,2.0856561077696525,1.72,13.88115798951228,10.8
CSH,2011,1,1/2011,1.6717161136039376,1,9.050331650055996,6.9,null,null,0.3108686037328645,0,0.4993615314019452,0.5,0.12064167900193752,0,0.00101191347549605,0,9.982216074756273,7.9
CRD,2011,2,2/2011,1.5969329055605794,1,10.76588193735263,8.5,null,null,0.32737681716335315,0.5,0.49792131405997103,0.5,0.2356591175580694,0,2.1371276068948233,1.84,13.963967286743289,10.9
CSH,2011,2,2/2011,1.6584587733480736,1,9.091464509992678,7.3,null,null,0.3128407128900205,0,0.49937765542402063,0.5,0.11992757545745958,0,0.001255890739057411,0,10.024866959774071,7.9
CRD,2011,3,3/2011,1.584985008394686,1,10.997122000092338,8.5,null,null,0.33621891699866585,0.5,0.4978304908478874,0.5,0.26713938068976506,0,2.2028141985445266,1.95,14.301126009040292,11
CSH,2011,3,3/2011,1.6529211781549593,1,9.274021828805552,7.3,null,null,0.3244822266382429,0,0.4993220217936374,0.5,0.14065875516620574,0,0.0011062142702012055,0,10.239610932877321,8
CRD,2011,4,4/2011,1.568411320497751,1,11.047949155746588,8.5,null,null,0.3310337020167898,0.5,0.49750915858747885,0.5,0.2612776037455196,0,2.1956372676914815,1.9,14.33340713041453,11
CSH,2011,4,4/2011,1.6579667553358206,1,9.423710441451092,7.3,null,null,0.31940994804400796,0,0.49923137517175425,0.5,0.14324679664461618,0,0.0011154784988335296,0,10.386714508486882,8.2
CRD,2011,5,5/2011,1.5967532692490027,1,11.395843759801211,8.5,null,null,0.32389369136441765,0.5,0.4973808477559544,0.5,0.2897203132865736,0,2.2591550838980883,2,14.76599369610141,11.28
CSH,2011,5,5/2011,1.671750812860014,1,9.656821189067399,7.3,null,null,0.31185060507930434,0,0.499205993191904,0.5,0.1594004725053551,0,0.001015706029450211,0,10.628294132962935,8.3
CRD,2011,6,6/2011,1.5959707951070337,1,11.348586163608152,8.5,null,null,0.3336783409785933,0.5,0.4975821865443425,0.5,0.28203301070315195,0,2.2564514785936747,2,14.718331180432886,11.28
CSH,2011,6,6/2011,1.6703933175327919,1,9.635086576283141,7.3,null,null,0.32266245318893805,0,0.4992377916037386,0.5,0.15575004239999898,0,0.0012607120903597399,0,10.613997575568895,8.3
CRD,2011,7,7/2011,1.6145370643142667,1,11.121360365466506,8.5,null,null,0.32823137139744163,0.5,0.4977230561381431,0.5,0.2560179104410864,0,2.2018342177698886,2,14.405167156642985,11.1
CSH,2011,7,7/2011,1.708988063079524,1,9.572831335646343,7.3,null,null,0.3126135175389948,0,0.49924913574479285,0.5,0.14747595562462232,0,0.0012049606839713539,0,10.533375382929485,8.2
CRD,2011,8,8/2011,1.5905801015819452,1,11.13361499637676,8.5,null,null,0.34578193737867385,0.5,0.49718545689511023,0.5,0.27100455646133775,0,2.211973168384144,1.97,14.4595602015218,11
CSH,2011,8,8/2011,1.6805912408308346,1,9.641524470484454,7.3,null,null,0.33751972785243306,0.5,0.49905042634823216,0.5,0.1580010675821206,0,0.0015234313642042557,0,10.63762033191638,8.2
CRD,2011,9,9/2011,1.6213998893234085,1,11.568539085946732,8.9,null,null,0.32677401936377914,0.5,0.4974552861945596,0.5,0.28458031683088014,0,2.2841175376157237,2,14.961466245958114,11.4
CSH,2011,9,9/2011,1.6931829857818275,1,9.882870156241644,7.7,null,null,0.3157958607473525,0,0.49914095365635786,0.5,0.1631474858251862,0,0.001553505331876169,0,10.862507838900846,8.4
CRD,2011,10,10/2011,1.6354451027603871,1,11.320120215705844,8.5,null,null,0.31719745423885704,0,0.49753788219466183,0.5,0.2833000387453026,0,2.248989832887729,2,14.66714542378065,11.25
CSH,2011,10,10/2011,1.7043278745768669,1,9.677767249528953,7.3,null,null,0.3026011780530193,0,0.49921731149830745,0.5,0.15853858709429405,0,0.0029010876544500338,0,10.641025413833836,8.3
CRD,2011,11,11/2011,1.634674115415779,1,11.449253646636585,8.9,null,null,0.3108134858404603,0,0.49738759407090083,0.5,0.29707158816282786,0,2.2779110808941283,2,14.83243739560943,11.3
CSH,2011,11,11/2011,1.7041584182915965,1,9.718426729683442,7.7,null,null,0.29925335296446604,0,0.49924484064139363,0.5,0.16076201252094896,0,0.003016699247748194,0,10.680704006236985,8.3
CRD,2011,12,12/2011,1.6554230570534736,1,11.338053920041608,8.5,null,null,0.3297916846479362,0.5,0.4973286869733052,0.5,0.27412571002543046,0,2.275001355631619,2,14.714301357319837,11.3
CSH,2011,12,12/2011,1.735228521415298,1,9.676949448653934,7.7,null,null,0.3161594483833283,0,0.49926382276335257,0.5,0.15120049218332135,0,0.003732544577310154,0,10.647305756562776,8.3
CRD,2012,1,1/2012,1.6313411960249118,1,10.676799294313525,8.1,null,null,0.32385117908245115,0,0.49784567296124654,0.5,0.24699293957030932,0,2.149530243327711,1.76,13.895019329256993,10.7
CSH,2012,1,1/2012,1.6860091848822027,1,9.054517664339988,6.9,null,null,0.3097198926123996,0,0.49939064230006064,0.5,0.12827644383240389,0,0.0037976063450053314,0,9.995702312218706,7.9
DIS,2012,1,1/2012,1.1679586563307494,1,11.118863049095605,5.3,null,null,0.30103359173126615,0.5,0.4780361757105943,0.5,0.22328165374677,0,0.022894056847545217,0,12.144108527131781,6.3
NOC,2012,1,1/2012,1.269434628975265,1,10.133012367491167,5.3,null,null,0.2765017667844523,0.5,0.4880742049469965,0.5,0.16272968197879858,0,0.008118374558303889,0,11.068436395759718,6.3
